INDEX,ETITLE,ECLASS,QCODE,EROUND,LAYER1,LAYER2,LAYER3,QNUM,QTYPE,QUESTION,ANSWER,DIFFICULTY,CREATED_DATE,MODIFIED_DATE
16,보험중개사,손해보험,ABAA-16,20,관계법령,,,16,A,"상법상고지의무에관한설명으로틀린것은? 
①고지의무위반사실이 보험사고의 발생에영향을미치지 아니하였음이 증명된때에는보험자는 보험금을 지급할 의무가있다. 
②보험자는 고지의무위반사실을 안날로부터 1월,계약이 성립한날로부터 5년이지나면보험계약을 해지할 수없다. 
③보험자가 서면으로 질문한사항은중요한사항으로 추정한다 . 
④보험자가 계약당시에고지의무위반의 사실을알았 거나중대한과실로알지못한때에는보험자는 그 계약을해지할수없다 .손해보험중개사시험 -보험관계법령등 -3쪽",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
17,보험중개사,손해보험,ABAA-17,20,관계법령,,,17,A,"보험계약의부활에관한설명으로틀린것은? 
①해지환금금이 지급된경우에도 부활이인정된다 . 
②보험계약자는 중요한사항에대한고지의무를 진다 . 
③보험계약이 해지되어 부활할때까지생긴보험사고에 대하여는 보험자는 보험금지급책임이 없다. 
④부활의청약은보험약관에서 정한기간내에 하여야 하지만보험기간이 종료하지 않아야한다 .",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
18,보험중개사,손해보험,ABAA-18,20,관계법령,,,18,A,"손해보험에있어서손해액의산정에대한설명중옳은 것은? 
①보험자가 보상할손해액은 계약성립시점의 목적물 소재지의 가액에의하여산정한다 . 
②신품가액에 의하여손해액을 산정하는 약정도가능 하다 . 
③보험자는 다른약정이없으면사고발생일로부터 10일 내에보험금을 지급하여야 한다. 
④손해액의 산정비용은 피보험자가 부담한다 .",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
19,보험중개사,손해보험,ABAA-19,20,관계법령,,,19,A,"보험목적의양도에관한설명으로틀린것은? 
①보험자가 자동차의 양수인으로부터 양수사실을 통지 받은때에는지체없이 낙부를통지하여야 하고통지 받은날부터 30일내에낙부의통지가없을때에는 승낙한것으로본다. 
②피보험자가 보험기간중에 자동차를 양도한때에는 양수인은 보험자의 승낙을 얻은경우에 한하여 보험계약으로 인하여생긴권리와의무를승계한다 . 
③선박을양도하면 보험자의 동의가없는한보험계약은 종료한다 . 
④보험목적의 양도에따른권리・의무의이전은대항 요건없이보험자이외의제3자에대하여효력을 미친다는 것이다수설이다 .",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
20,보험중개사,손해보험,ABAA-20,20,관계법령,,,20,A,"보험금액과보험가액의관계에관한설명으로옳은것은? 
①당사자간에 보험가액을 정하지아니한때에는보험 계약체결당시의 가액을보험가액으로 한다 . 
②손해보험에서 보험금액은 보험자의 보상책임의 법률 상의최고한도액이다 . 
③상법은기평가보험의 경우사기로인한경우가아닌 한확정적효력을인정한다 . 
④당사자간에 약정한보험가액이 사고발생시의 가액을 현저하게 초과할때에는사고발생시의 가액을보험 가액으로 하는데 ,현저한초과에대한입증책임은 보험자에게 있다 .",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
21,보험중개사,손해보험,ABAA-21,20,관계법령,,,21,A,"피보험이익과그평가에관한설명중옳은것은? 
①보험의목적과같은개념이다 . 
②금전으로 산정할수있는이익이어야 한다 . 
③생명보험의 경우에도 인정된다 . 
④합의된보험가액은 확정적이며 그것이사고발생시의 가격을현저히초과하여도 변경되지 않는다 .",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
22,보험중개사,손해보험,ABAA-22,20,관계법령,,,22,A,"운송보험에관한설명으로틀린것은? 
①운송보험은 트럭등운송용구를 보험의목적으로 한다. 
②보험계약은 다른약정이없으면운송의필요에의하여 운송의방법을변경한경우에도 효력이유지된다 . 
③운송물의 도착으로인해얻을이익은약정이있는 때에한하여보험가액 중에산입한다 . 
④보험자는 다른약정이없으면운송인이 운송물을 수령 한때로부터 수하인에게 인도할때까지생길손해를 보상할책임을진다.",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
23,보험중개사,손해보험,ABAA-23,20,관계법령,,,23,A,"책임보험에관한설명으로틀린것은? 
①영업책임보험의 경우에피보험자의 대리인또는그 사업감독자의 제3자에대한책임도보험의목적에 포함된다 . 
②판례는피해자의 직접청구권의 성격에대해보험금청구 권설을취한다 . 
③보험자는 특별한약정이없으면채무확정의 통지를 받은날로부터 10일내에보험금액을 지급하여야 한다. 
④피보험자가 보험자의 동의없이제3자에대하여변제를 한경우에는 보험자가 그책임을면하는합의가있는 때에도그행위가현저하게 부당한것이아니면 보험자는 보상할책임을면하지못한다 .",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
24,보험중개사,손해보험,ABAA-24,20,관계법령,,,24,A,"타인을위한손해보험계약에관한설명중옳지않은 것은? 
①손해보험계약에서 타인의위임이없어도가능하므로 그타인의위임이없었다는사실을보험계약자는 보험자에 게고지할필요가없다. 
②보험계약자가 예외적으로 보험금청구권을 취득할수도 있다. 
③보험계약자는타인의동의를얻거나보험증권을 소지 한경우에한하여그계약을해지할수있다. 
④피보험자가 수익의의사표시를 하지않아도보험금 청구권을 취득한다 .손해보험중개사시험 -보험관계법령등 -4쪽",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
25,보험중개사,손해보험,ABAA-25,20,관계법령,,,25,A,"손해방지의무에관한다음설명중옳은것은? 
①상법의규정에의하면지급할손해보상액과 손해방지 비용의합계가보험금액을 초과한때에는보험자의 지시에의한경우에만 보험자가 그초과된비용도 부담한다 . 
②상법은피보험자가 손해방지비용의 선급을청구할 수있음을명문으로밝히고있다 . 
③타인을위한보험계약에서의 보험계약자는 손해방지 의무를부담하지 않는다 . 
④대법원판례에의하면책임보험계약에서 피보험자의 책임여부가판명되지아니한상태에서피보험자가 손해방지를 위한비용을지급하였다면 보험자는 이러한비용도부담하여야 한다.",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
26,보험중개사,손해보험,ABAA-26,20,관계법령,,,26,A,"보험가액이 1억원이고 ,보험금액이 5,000만원인손해 보험계약에서 만일보험사고가발생하여 3,000만원의 손해가 발생하였다면 ,당사자간에다른특약이없는경우에 보험자가보상하여야할책임액은얼마인가 ? 
①1,500만원 
②3,000만원 
③5,000만원 
④1억원",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
27,보험중개사,손해보험,ABAA-27,20,관계법령,,,27,A,"중복보험에관한다음설명중옳은것은? 
①대법원은 중복보험에 있어피보험자에 대한보험자들 사이의책임분담방식에 관한상법의규정과다른 내용의 약관을둘수없다고본다. 
②사망보험계약에도 중복보험 규정이적용된다 . 
③중복보험계약이 체결된경우보험자 1인에대한권리의 포기는다른보험자의 권리의무에 영향을미친다 . 
④중복보험계약이 보험계약자의 사기로인하여체결된 때에는그계약은무효로한다.",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
28,보험중개사,손해보험,ABAA-28,20,관계법령,,,28,A,"보험가액에관한다음설명중옳은것은? 
①당사자간에 보험가액을 정하지아니한때에는보험 금액을보험가액으로 한다 . 
②보험계약의 당사자가 약정에의하여정한보험자급여 의무의최고한도액을 보험가액이라고 한다. 
③운송물의 보험에있어서는 발송한때와곳의가액과 도착지까지의 운임기타의비용을보험가액으로 한다. 
④당사자간에 보험가액을 정한때에는그가액은사고 발생시의 가액으로 정한것으로간주한다 .",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
29,보험중개사,손해보험,ABAA-29,20,관계법령,,,29,A,"다음설명중옳지않은것은? 
①보험의목적에관하여보험자가 부담할손해가생긴 경우에는 그후그목적이보험자가 부담하지 아니 하는보험사고의 발생으로 인하여멸실된때에도 보험자는 이미생긴손해를보상할책임을면하지 못한다 . 
②보험자가 손해를보상할경우에보험료의 지급을받지 아니한잔액이있으면그지급기일이 도래하지아니 한때라도보상할금액에서 이를공제할수있다. 
③보험사고로 인하여상실된피보험자가 얻을이익이나 보수는당사자간에다른약정이없으면보험자가 보상할 손해액에 산입한다 . 
④‘보험사고의 성질 ’도손해보험증권의 법정기재사항 이다 .",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
30,보험중개사,손해보험,ABAA-30,20,관계법령,,,30,A,"다음중이득금지의원칙과가장거리가먼것은? 
①초과보험 
②잔존물대위 
③청구권대위 
④일부보험",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
31,보험중개사,손해보험,ABAA-31,20,관계법령,,,31,A,"다음의설명으로옳지않은것은? 
①여러개의물건이나 사람을집단으로 하여 1개의보험 계약을체결하는 것을집합보험이라 한다. 
②재보험은 원수보험자의 보험금지급채무를 담보하게 되므로책임보험의 성격을가지는손해보험이며 기업보험이다 . 
③보험가입자가 직접적으로 위험단체를 구성하는 것이 영리보험이다 . 
④집합된보험의목적이보험기간 중수시로교체되는 것을예상하고 체결하는 것을총괄보험이라 한다.",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
32,보험중개사,손해보험,ABAA-32,20,관계법령,,,32,A,"고지의무와보험약관의교부및명시의무에대한설명 으로옳지않은것은?(다툼이있는경우판례에의함) 
①보험자가 보험약관의교부및명시의무를 위반한 경우보험계약자는 보험증권이교부된날로부터 1개월 내에계약을취소할수있다 . 
②보험자가 보험약관의교부및명시의무를 위반한 경우당해약관을계약의내용으로 주장할수없다. 
③보험자가 보험약관의교부및명시의무를 위반하면 보험계약자 등이고지의무위반을 이유로계약을해지 할수없다. 
④보험계약자의 고지의무위반이 보험사고발생에 영향을 미치지않은경우에는 보험자는 보험금을 지급하여야 한다 .손해보험중개사시험 -보험관계법령등 -5쪽",1.3,,2025-08-23 21:17:14,2025-08-23 21:17:14
33,보험중개사,손해보험,ABAA-33,20,관계법령,,,33,A,"보험계약의무효사유에대한설명으로옳지않은것은? 
①보험계약체결 당시에보험사고가 이미발생한경우는 보험계약은 언제나무효이다 . 
②보험계약자의 사기로인한초과보험은 무효이다 . 
③보험자가 보험약관의교부및명시의무를 위반하여 보험계약자가 보험계약을 취소한경우그계약은 무효가된다 . 
④심신박약자의 사망을보험사고로 한보험계약은 무효 이다.",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
34,보험중개사,손해보험,ABAA-34,20,관계법령,,,34,A,"제3자에대한보험자대위를설명한것으로옳지않은 것은? 
①피보험자의 손해가제3자의행위로인하여생긴 경우에 보험금을 지급한보험자가 보험계약자 또는 피보험자의 권리를법률상당연히취득하는 것을 말한다 . 
②제3자는수인이든 1인이든무방하다 . 
③손해를발생시킨제3자와이로인하여피보험자에 대하여채무를부담하게 된제3자는동일인이어야만 한다 . 
④피보험자의 제3자등에대한권리가소멸시효로소멸 한경우에는 보험자는 대위권을 행사할수없다.",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
35,보험중개사,손해보험,ABAA-35,20,관계법령,,,35,A,"다음중보험금지급책임에대한보험자의면책사유를 설명한것으로옳지않은것은? 
①보험약관의 정함이있는사유로보험사고가 발생한 경우 
②보험사고가 보험계약자의 고의에의하여발생한경우 
③보험사고가 전쟁위험으로 인해발생하였고 당사자간 다른약정이없는경우 
④보험사고가 보험계약자와 특별한관계가있는가족의 중과실로 인하여발생한경우",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
36,보험중개사,손해보험,ABAA-36,20,관계법령,,,36,A,"선장에관한설명으로틀린것은? 
①선장은선적항에서 항해에필요한재판상또는재판 외의모든행위를할권한이있다. 
②선장은해난구조료를 지급하여야 하는경우석박을 담보에제공할수있다 . 
③선적항외에서 선박이수선불능인경우해무관청의 인가를 받아경매할수있다 . 
④매항해를종료한때그항해에관한계산서를 선박 소유자에게 지체없이 보고하여야 한다.",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
37,보험중개사,손해보험,ABAA-37,20,관계법령,,,37,A,"해난구조에관한설명으로옳은것은? 
①구조자의 구조료청구권에는 우선특권이 인정되지 않는다 . 
②구조의보수액은 다른약정이없으면구조된목적물의 가액을초과하지 못한다 . 
③구조료청구권은 구조가완료된날로부터 1년내에재판상 청구가없으면소멸한다. 
④인명만의 구조도포함된다 .",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
38,보험중개사,손해보험,ABAA-38,20,관계법령,,,38,A,"선박소유권의양도에관한다음설명중틀린것은? 
①비등기선박의 양도는인도(引渡)에의하여그효력이 생긴다 . 
②등기선박의 양도는당사자간의 합의만으로써그효력이 생긴다 . 
③등기선박의 양도는이를등기하고 선박국적증서에 기재하여도 제3자에대항할수없다 . 
④선박소유권이 양도되면 원칙적으로 속구목록에 기재된 물건의소유권도 이전한다 .",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
39,보험중개사,손해보험,ABAA-39,20,관계법령,,,39,A,"상법상공동해손의효과에관한다음설명중틀린것은? 
①공동해손채권액은 원칙적으로 선장의처분으로인하여 생긴선박또는적하에대한손해또는비용의전액이다 . 
②공동해손의 액을정함에있어서는 선박의가액은도달의 때와곳의가액으로하고,적하의가액은양륙의때와곳의 가액으로 한다. 
③공동해손은 그위험을면한선박또는적하의가액과 운임의전액과공동해손의 액과의비율에따라각 이해관계인이 이를분담한다 . 
④공동해손의 분담책임이 있는자는선박이도달하거나 적하를인도한때에현존하는가액의한도에서 그 책임을진다 .",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
40,보험중개사,손해보험,ABAA-40,20,관계법령,,,40,A,"다음중해상운송인의선적에관한의무에해당하지 않는것은? 
①선박회항의무 
②선적준비완료통지의무 
③대박의무 (待泊義務 ) 
④감항능력주의의무",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
41,보험중개사,손해보험,ABAA-41,20,관계법령,,,41,A,"다음중권리가될수없는것은? 
①인격권 
②대리권 
③채권자대위권 
④항변권손해보험중개사시험 -보험관계법령등 -6쪽",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
42,보험중개사,손해보험,ABAA-42,20,관계법령,,,42,A,"권리의행사에있어서소송을제기하지않아도행사할 수있는권리는 ? 
①이혼청구권 
②파양청구권 
③채권자대위권 
④채권자취소권",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
43,보험중개사,손해보험,ABAA-43,20,관계법령,,,43,A,"실종선고에관한설명으로옳은것은? 
①보통실종기간은 5년이고 ,항공기실종기간은 6월이다 . 
②1순위의상속인이 있는경우,후순위의상속인은 실종 선고를청구할수있는이해관계인이 아니다 . 
③실종선고를 하기위해서는 가정법원은 3월이상의기간을 정해공시최고를 하여야한다. 
④실종선고를 받은자를사망한것으로보는시기는실종 선고를 한때이다 .",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
44,보험중개사,손해보험,ABAA-44,20,관계법령,,,44,A,"다음법인의등기중성립요건에해당하는것은? 
①사무소이전등기 
②해산등기 
③변경등기 
④설립등기",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
45,보험중개사,손해보험,ABAA-45,20,관계법령,,,45,A,"다음중에서법인의대표기관은몇개인가 ? (가)특별대리인 (나)직무대행자 (다)청산인 (라)임시이사 (마)감사 
①2개 
②3개 
③4개 
④5개",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
46,보험중개사,손해보험,ABAA-46,20,관계법령,,,46,A,"법률행위의취소와기한및기간에관한설명으로 , 부당한것은? 
①사기에의한의사표시의 취소는선의의제3자에게 대항하지 못한다 . 
②취소권은 법률행위를 한날로부터 10년내에행사 하지않으면소멸한다 . 
③기한은채무자의 이익을위한것으로추정한다 . 
④기간의말일이공휴일에해당하는 때에는그전일 (前日 )로만료한다 .",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
47,보험중개사,손해보험,ABAA-47,20,관계법령,,,47,A,"다음중에서쌍방대리가허용되지않는경우는 ? 
①대물변제의 예약 
②채무의이행 
③본인의허락이있는경우 
④소유권이전등기의 신청",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
48,보험중개사,손해보험,ABAA-48,20,관계법령,,,48,A,"을의임의대리인인갑이을의부동산에대하여매매계약을 병과체결하는경우에관한설명으로부당한것은? (이견이있으면 ,판례에의함) 
①갑이그의대리권을남용한경우에 ,병이그남용을 알았거나 알수있었을때에는위매매계약은 무효이다 . 
②대리인은 대리인임을 표시해야 하므로,갑이을의 이름만적고위매매계약을 체결한경우에그계약 은무효이다 . 
③갑이자신의이름만적고위계약을체결하였더라도, 갑이대리인으로서 한것임을병이알았거나 알수 있었을때에는을에대하여계약의효력이생긴다 . 
④을이위계약에대한수권행위를 철회한후에갑이 위계약을체결한경우,병이과실(過失)로이철회를 알지못한때에는위계약은무효이다 .",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
49,보험중개사,손해보험,ABAA-49,20,관계법령,,,49,A,"「갑이사망하면시계를사주겠다 」고한것은다음 중어디에해당하는가 ? 
①정지조건 
②해제조건 
③확정기한 
④불확정기한",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
50,보험중개사,손해보험,ABAA-50,20,관계법령,,,50,A,"다음중1년의소멸시효에걸리는채권은 ? 
①친구에게빌려준금전 
②신부가예식장에서 드레스를빌려입은사용료 
③과수원주인이판매한사과의외상대금 
④세탁업자의 세탁비",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
51,보험중개사,손해보험,ABAA-51,20,관계법령,,,51,A,"보험계약체결단계에서보험회사가일반보험계약자에게 알려야하는사항이아닌것은? 
①보험계약 승낙거절시 그이유 
②보험의모집에종사하는 자의연락처 
③보험중개사의 보험계약체결 대리권보유여부 
④보험금의 예상심사기간손해보험중개사시험 -보험관계법령등 -7쪽",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
52,보험중개사,손해보험,ABAA-52,20,관계법령,,,52,A,"다음중옳지않은것은? 
①보험중개사가 보험모집광고를 할때는예금자보호법이 적용되는 보험금범위도알려야한다. 
②보험안내 자료의기재내용에 규제를가하는것은보험 계약자의 신뢰와이익도모를 위한것이다 . 
③보험회사는 보험모집광고를 할때내부감사의확인을 받아야한다. 
④보험회사의 예상배당을 기재하지 못하도록 한것은 장래의일정배당을 미리단언할수없기때문이다 .",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
53,보험중개사,손해보험,ABAA-53,20,관계법령,,,53,A,"보험중개사는인터넷등통신수단을통하여서도보험 모집을할수있지만 ,일정한허용요건이있다.그에 해당하지않는것은? 
①보험중개사가 1년전에유효한보험계약을 중개한적이 있는피보험자인 회사甲 
②위탁보험회사가 적법하게 개인정보 활용에대해동의를 받은개인乙 
③통신수단만을 이용하여 보험을판매하는보험회사와 보험계약을 2년전에체결한피보험자 丙 
④보험중개사가 6개월전전화로보험중개를 한적이 있는타인의생명보험의타인을위한보험계약의 보험수익자 丁",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
54,보험중개사,손해보험,ABAA-54,20,관계법령,,,54,A,"다음중보험중개사가보험계약자에게제공해서는안 되는특별이익에속하지않는것은? 
①피보험자를 위해서 1년간보험료 10만원을대신납부 하는경우 
②해당보험회사로부터 받은대출금의 이자를 3개월만 (합계 9천원)대신갚아주는경우 
③상법상제3자에대한청구권대위 행사를하지않겠다고 약속하는 경우 
④보험계약 체결시부터의 1년보험료가 1,000만원인 생명보험에서 2만원짜리케익을선물하는 경우",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
55,보험중개사,손해보험,ABAA-55,20,관계법령,,,55,A,"법인보험중개사의 지점의설치에대한설명으로옳지않은 것은? 
①법인보험중개사의 지점장은 반드시법인보험중개사 유자격 자이어야 한다. 
②법인보험중개사가 동일주소지에 2개이상의지점을설치 하고자할경우에는 금융감독원장의 인가를받아야한다. 
③법인보험중개사가 지점을설치하고자 할때에는금융감독원장 에게신고서를 제출하여야 한다 . 
④법인보험중개사가 지점을폐쇄하였을 때에는 7일이내에 금융감독원장에게 신고하여야 한다.",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
